field,classification,owner,storage,allowed_modules,ai_policy,retention,export,delete,provenance
account_id,L1,Identity,identity,"Core",AI_FORBIDDEN,account_lifetime,yes,yes,no
user_id,L1,Core,core,"all_by_permission",AI_FORBIDDEN,account_lifetime,yes,yes,no
device_id,L1,Identity,identity,"Core",AI_FORBIDDEN,account_lifetime,yes,yes,no
email,L3,Identity,identity,"Core",AI_FORBIDDEN,necessary,yes,yes,source
email_domain,L2,Core,domain,"Hermes,Core",AI_MINIMIZED_ONLY,necessary,yes,yes,source
sender_pseudonym_id,L2,Core,domain,"Hermes,Core",AI_MINIMIZED_ONLY,necessary,yes,yes,derived
merchant_id,L2,Core,domain,"approved_modules",AI_ALLOWED,necessary,yes,yes,source
merchant_name,L2,Core,domain,"approved_modules",AI_MINIMIZED_ONLY,necessary,yes,yes,source
address,L3,Identity/Document,secure,"strict_need",AI_FORBIDDEN,minimum,yes,yes,source
phone,L3,Identity,secure,"strict_need",AI_FORBIDDEN,minimum,yes,yes,source
iban,L4,Secure,secrets,"strict_need",AI_FORBIDDEN,minimum,limited,yes,provider
oauth_refresh_token,L4,Secure,secrets,"server_only",AI_FORBIDDEN,connection_lifetime,no,yes,provider
document_raw,L0_RAW_QUARANTINE,Quarantine,quarantine,"Connector/Core",AI_FORBIDDEN,days_to_define,yes,yes,source
email_body_raw,L0_RAW_QUARANTINE,Quarantine,quarantine,"Connector/Core",AI_FORBIDDEN,days_to_define,yes,yes,source
invoice_amount,L2,Core,domain,"approved_modules",AI_ALLOWED,necessary,yes,yes,source
invoice_date,L2,Core,domain,"approved_modules",AI_ALLOWED,necessary,yes,yes,source
subscription_status,L2,Core,domain,"Hades/Hermes/Helios",AI_ALLOWED,necessary,yes,yes,source
deadline_date,L2,Core,domain,"Themis,Helios",AI_ALLOWED,necessary,yes,yes,source
legal_rule_ref,PUBLIC,Knowledge,knowledge,"Themis,Helios",AI_MINIMIZED_ONLY,versioned,yes,no,source
third_party_identity,L3,Identity,secure,"none",AI_FORBIDDEN,not_retained,no,n/a,source
